26606:0,0,23,-992,2037,0,,,-35.06599,;0,0,17,-1033,-934,0,,,-51.85637,;0,0,29,-217,-2369,0,,,-29.79224,;0,0,21,1004,-328,0,,,-61.42598,;0,0,1,-4294,-122,0,,,-34.72134,;0,0,5,-2319,373,0,,,-33.72097,;0,0,2,-2211,-2342,0,,,-27.79275,;0,0,18,-5,-3129,0,,,151.789,;0,0,39,-1211,-2228,0,,,-57.33205,;0,0,7,414,-1584,0,,,-50.31905,;0,0,19,-2442,-1115,0,,,-62.4984,;1,0,1,3906,-421,0,,,-146.837,;1,0,10,-2266,-1176,0,,,-99.87918,;1,0,4,1256,-376,0,,,-70.63319,;1,0,18,-749,-2358,0,,,-157.5186,;1,0,15,810,-1631,0,,,-82.41136,;1,0,7,-1295,516,0,,,-81.72498,;1,0,12,693,512,0,,,-70.40173,;1,0,23,-240,-2485,0,,,-55.56243,;1,0,33,152,-2322,0,,,-60.51622,;1,0,5,-408,-945,0,,,-104.4106,;1,0,29,976,-2654,0,,,175.9059,;:-79,-3056,12,0,A,Alive;:
26607:0,0,23,-988,2035,0,,,-33.45929,;0,0,17,-1029,-936,0,,,-50.07796,;0,0,29,-204,-2375,0,,,-30.75676,;0,0,21,1012,-333,0,,,-61.04517,;0,0,1,-4290,-120,0,,,-34.74178,;0,0,5,-2313,371,0,,,-33.10565,;0,0,2,-2208,-2347,0,,,-27.94199,;0,0,18,-9,-3130,0,,,151.789,;0,0,39,-1208,-2233,0,,,-56.79494,;0,0,7,426,-1588,0,,,-48.31795,;0,0,19,-2439,-1118,0,,,-61.55732,;1,0,1,3908,-424,0,,,-146.7349,;1,0,10,-2262,-1180,0,,,-99.68701,;1,0,4,1266,-380,0,,,-68.68124,;1,0,18,-746,-2359,0,,,-160.0847,;1,0,15,819,-1636,0,,,-82.56407,;1,0,7,-1291,513,0,,,-80.75327,;1,0,12,701,510,0,,,-68.1908,;1,0,23,-228,-2502,0,,,-56.09702,;1,0,33,162,-2341,0,,,-61.8153,;1,0,5,-404,-945,0,,,-104.4954,;1,0,29,975,-2654,0,,,176.6934,;:-59,-3074,12,0,A,Alive;:
26608:0,0,23,-983,2032,0,,,-32.59674,;0,0,17,-1024,-938,0,,,-49.09132,;0,0,29,-191,-2381,0,,,-31.70726,;0,0,21,1021,-340,0,,,-61.16124,;0,0,1,-4287,-119,0,,,-34.76871,;0,0,5,-2307,369,0,,,-32.62284,;0,0,2,-2206,-2352,0,,,-28.08698,;0,0,18,-11,-3132,0,,,151.789,;0,0,39,-1205,-2237,0,,,-56.66067,;0,0,7,437,-1592,0,,,-46.66293,;0,0,19,-2435,-1120,0,,,-60.80785,;1,0,1,3910,-427,0,,,-146.6097,;1,0,10,-2257,-1184,0,,,-99.25117,;1,0,4,1276,-383,0,,,-66.6292,;1,0,18,-744,-2361,0,,,-160.9512,;1,0,15,829,-1641,0,,,-82.02854,;1,0,7,-1286,510,0,,,-80.18135,;1,0,12,709,509,0,,,-66.0739,;1,0,23,-217,-2518,0,,,-56.49062,;1,0,33,171,-2359,0,,,-63.03737,;1,0,5,-401,-944,0,,,-104.0231,;1,0,29,974,-2654,0,,,177.1156,;:-40,-3091,15,0,A,Alive;:
26609:0,0,23,-978,2030,0,,,-31.79578,;0,0,17,-1019,-941,0,,,-48.15779,;0,0,29,-179,-2387,0,,,-32.52032,;0,0,21,1031,-346,0,,,-61.31362,;0,0,1,-4283,-117,0,,,-34.79032,;0,0,5,-2300,367,0,,,-32.13638,;0,0,2,-2203,-2357,0,,,-28.17765,;0,0,18,-13,-3134,0,,,151.789,;0,0,39,-1202,-2241,0,,,-56.50411,;0,0,7,449,-1595,0,,,-45.06007,;0,0,19,-2432,-1122,0,,,-60.00749,;1,0,1,3911,-429,0,,,-146.5058,;1,0,10,-2252,-1188,0,,,-98.72026,;1,0,4,1286,-387,0,,,-64.66956,;1,0,18,-741,-2363,0,,,-161.8466,;1,0,15,838,-1645,0,,,-81.57691,;1,0,7,-1282,508,0,,,-79.71717,;1,0,12,717,507,0,,,-63.7868,;1,0,23,-206,-2535,0,,,-56.8755,;1,0,33,180,-2378,0,,,-64.2134,;1,0,5,-397,-944,0,,,-103.4897,;1,0,29,974,-2655,0,,,177.4918,;:-21,-3109,18,0,A,Alive;:
26610:0,0,23,-974,2028,0,,,-31.22467,;0,0,17,-1014,-943,0,,,-47.72818,;0,0,29,-166,-2393,0,,,-33.49136,;0,0,21,1040,-352,0,,,-61.90041,;0,0,1,-4279,-115,0,,,-34.82103,;0,0,5,-2294,365,0,,,-31.84269,;0,0,2,-2201,-2362,0,,,-28.67976,;0,0,18,-14,-3136,0,,,151.789,;0,0,39,-1199,-2245,0,,,-56.73877,;0,0,7,460,-1598,0,,,-43.49275,;0,0,19,-2429,-1123,0,,,-59.39097,;1,0,1,3912,-432,0,,,-146.3966,;1,0,10,-2248,-1192,0,,,-98.14159,;1,0,4,1297,-392,0,,,-62.84789,;1,0,18,-739,-2365,0,,,-162.608,;1,0,15,847,-1650,0,,,-80.81207,;1,0,7,-1277,505,0,,,-79.29118,;1,0,12,726,504,0,,,-60.88004,;1,0,23,-196,-2553,0,,,-57.214,;1,0,33,189,-2397,0,,,-65.34547,;1,0,5,-393,-944,0,,,-102.6128,;1,0,29,973,-2655,0,,,177.5627,;:-16,-3104,15,0,A,Alive;:
26611:0,0,23,-968,2026,0,,,-30.3355,;0,0,17,-1009,-945,0,,,-46.62466,;0,0,29,-154,-2399,0,,,-34.2573,;0,0,21,1049,-359,0,,,-62.03938,;0,0,1,-4275,-113,0,,,-34.84193,;0,0,5,-2288,363,0,,,-31.30479,;0,0,2,-2198,-2367,0,,,-28.66208,;0,0,18,-14,-3138,0,,,151.789,;0,0,39,-1196,-2249,0,,,-56.47223,;0,0,7,472,-1601,0,,,-41.96199,;0,0,19,-2425,-1125,0,,,-58.49432,;1,0,1,3914,-435,0,,,-146.2981,;1,0,10,-2243,-1196,0,,,-97.54383,;1,0,4,1307,-396,0,,,-60.6367,;1,0,18,-736,-2368,0,,,-163.3265,;1,0,15,857,-1655,0,,,-80.58096,;1,0,7,-1273,503,0,,,-78.37521,;1,0,12,735,502,0,,,-57.80291,;1,0,23,-184,-2571,0,,,-57.50787,;1,0,33,198,-2417,0,,,-66.41618,;1,0,5,-388,-943,0,,,-102.1105,;1,0,29,972,-2656,0,,,177.6622,;:-11,-3100,12,0,A,Alive;:
26612:0,0,23,-963,2024,0,,,-29.40146,;0,0,17,-1003,-947,0,,,-45.19071,;0,0,29,-141,-2405,0,,,-34.80151,;0,0,21,1058,-365,0,,,-61.89745,;0,0,1,-4271,-112,0,,,-34.86386,;0,0,5,-2281,361,0,,,-30.54362,;0,0,2,-2196,-2372,0,,,-28.18926,;0,0,18,-13,-3140,0,,,151.789,;0,0,39,-1193,-2253,0,,,-55.88629,;0,0,7,484,-1603,0,,,-40.37821,;0,0,19,-2422,-1127,0,,,-57.2766,;1,0,1,3915,-438,0,,,-146.1874,;1,0,10,-2238,-1201,0,,,-96.84897,;1,0,4,1318,-400,0,,,-58.31118,;1,0,18,-733,-2370,0,,,-160.3535,;1,0,15,866,-1659,0,,,-80.5343,;1,0,7,-1268,501,0,,,-77.19873,;1,0,12,745,499,0,,,-55.01095,;1,0,23,-173,-2589,0,,,-57.72872,;1,0,33,206,-2437,0,,,-67.38912,;1,0,5,-384,-942,0,,,-101.8083,;1,0,29,971,-2656,0,,,177.7934,;:-6,-3095,12,0,A,Alive;:
26613:0,0,23,-958,2022,0,,,-28.75431,;0,0,17,-998,-948,0,,,-44.21154,;0,0,29,-128,-2411,0,,,-35.29668,;0,0,21,1067,-372,0,,,-62.20186,;0,0,1,-4267,-110,0,,,-34.89036,;0,0,5,-2274,359,0,,,-29.98906,;0,0,2,-2193,-2376,0,,,-28.10589,;0,0,18,-12,-3142,0,,,151.789,;0,0,39,-1190,-2256,0,,,-55.62121,;0,0,7,496,-1605,0,,,-38.80154,;0,0,19,-2419,-1128,0,,,-56.21958,;1,0,1,3916,-441,0,,,-146.0827,;1,0,10,-2233,-1205,0,,,-95.94093,;1,0,4,1328,-405,0,,,-56.53046,;1,0,18,-730,-2373,0,,,-160.8977,;1,0,15,876,-1664,0,,,-80.27561,;1,0,7,-1263,498,0,,,-76.47505,;1,0,12,756,496,0,,,-52.46942,;1,0,23,-162,-2607,0,,,-57.78664,;1,0,33,214,-2457,0,,,-68.26708,;1,0,5,-379,-941,0,,,-101.2824,;1,0,29,970,-2657,0,,,177.6714,;:-1,-3091,12,0,A,Alive;:
26614:0,0,23,-952,2020,0,,,-28.17897,;0,0,17,-993,-950,0,,,-43.22243,;0,0,29,-115,-2417,0,,,-35.48406,;0,0,21,1077,-379,0,,,-62.56466,;0,0,1,-4263,-108,0,,,-34.91435,;0,0,5,-2268,357,0,,,-29.47209,;0,0,2,-2191,-2381,0,,,-28.01076,;0,0,18,-10,-3144,0,,,135.3426,;0,0,39,-1187,-2260,0,,,-55.26497,;0,0,7,508,-1607,0,,,-37.18324,;0,0,19,-2416,-1130,0,,,-55.14412,;1,0,1,3917,-445,0,,,-145.9766,;1,0,10,-2228,-1209,0,,,-94.90385,;1,0,4,1339,-411,0,,,-55.09765,;1,0,18,-726,-2376,0,,,-161.4461,;1,0,15,886,-1668,0,,,-80.1757,;1,0,7,-1258,496,0,,,-76.02733,;1,0,12,766,493,0,,,-50.10255,;1,0,23,-150,-2625,0,,,-57.64149,;1,0,33,222,-2477,0,,,-69.04494,;1,0,5,-375,-940,0,,,-100.7228,;1,0,29,969,-2657,0,,,177.5954,;:4,-3086,12,0,A,Alive;:
26615:0,0,23,-947,2018,0,,,-27.51606,;0,0,17,-988,-951,0,,,-42.67816,;0,0,29,-103,-2422,0,,,-35.37357,;0,0,21,1086,-386,0,,,-62.91865,;0,0,1,-4259,-106,0,,,-34.93827,;0,0,5,-2261,355,0,,,-29.39173,;0,0,2,-2188,-2385,0,,,-28.17565,;0,0,18,-7,-3147,0,,,118.8962,;0,0,39,-1184,-2263,0,,,-54.68206,;0,0,7,520,-1609,0,,,-35.12073,;0,0,19,-2412,-1131,0,,,-54.13737,;1,0,1,3918,-448,0,,,-145.8921,;1,0,10,-2223,-1213,0,,,-94.21436,;1,0,4,1350,-416,0,,,-53.46225,;1,0,18,-723,-2379,0,,,-162.0135,;1,0,15,896,-1672,0,,,-80.20638,;1,0,7,-1254,494,0,,,-75.24196,;1,0,12,777,490,0,,,-47.91311,;1,0,23,-139,-2644,0,,,-57.38334,;1,0,33,230,-2498,0,,,-69.68692,;1,0,5,-370,-939,0,,,-100.4376,;1,0,29,968,-2657,0,,,177.478,;:14,-3092,12,0,A,Alive;:
